timestamp_utc,timestamp_local,parking_id,parking_slug,capacity,available,occupied,occupancy_pct
2026-09-10T23:45:00Z,2026-09-11T01:45:00+02:00,55,ajuntament-mercat,237,181,56,23.6
2026-09-10T23:46:00Z,2026-09-11T01:46:00+02:00,53,dr-robert,407,344,63,15.5
2026-09-10T23:46:00Z,2026-09-11T01:46:00+02:00,54,placa-vella,297,231,66,22.2
2026-09-10T23:46:00Z,2026-09-11T01:46:00+02:00,55,ajuntament-mercat,237,181,56,23.6
2026-09-10T23:47:00Z,2026-09-11T01:47:00+02:00,53,dr-robert,407,344,63,15.5
2026-09-10T23:47:00Z,2026-09-11T01:47:00+02:00,54,placa-vella,297,231,66,22.2
2026-09-10T23:47:00Z,2026-09-11T01:47:00+02:00,55,ajuntament-mercat,237,181,56,23.6
2026-09-10T23:48:00Z,2026-09-11T01:48:00+02:00,53,dr-robert,407,344,63,15.5
2026-09-10T23:48:00Z,2026-09-11T01:48:00+02:00,54,placa-vella,297,231,66,22.2
2026-09-10T23:48:00Z,2026-09-11T01:48:00+02:00,55,ajuntament-mercat,237,181,56,23.6
2026-09-10T23:49:00Z,2026-09-11T01:49:00+02:00,53,dr-robert,407,344,63,15.5
2026-09-10T23:49:00Z,2026-09-11T01:49:00+02:00,54,placa-vella,297,231,66,22.2
2026-09-10T23:49:00Z,2026-09-11T01:49:00+02:00,55,ajuntament-mercat,237,181,56,23.6
2026-09-10T23:50:00Z,2026-09-11T01:50:00+02:00,53,dr-robert,407,344,63,15.5
2026-09-10T23:50:00Z,2026-09-11T01:50:00+02:00,54,placa-vella,297,231,66,22.2
2026-09-10T23:50:00Z,2026-09-11T01:50:00+02:00,55,ajuntament-mercat,237,181,56,23.6
