timestamp_utc,timestamp_local,parking_id,parking_slug,capacity,available,occupied,occupancy_pct
2026-09-11T22:00:00Z,2026-09-12T00:00:00+02:00,53,dr-robert,407,334,73,17.9
2026-09-11T22:00:00Z,2026-09-12T00:00:00+02:00,54,placa-vella,297,227,70,23.6
2026-09-11T22:00:00Z,2026-09-12T00:00:00+02:00,55,ajuntament-mercat,237,184,53,22.4
2026-09-11T22:01:00Z,2026-09-12T00:01:00+02:00,53,dr-robert,407,335,72,17.7
2026-09-11T22:01:00Z,2026-09-12T00:01:00+02:00,54,placa-vella,297,229,68,22.9
2026-09-11T22:01:00Z,2026-09-12T00:01:00+02:00,55,ajuntament-mercat,237,184,53,22.4
2026-09-11T22:02:00Z,2026-09-12T00:02:00+02:00,53,dr-robert,407,335,72,17.7
2026-09-11T22:02:00Z,2026-09-12T00:02:00+02:00,54,placa-vella,297,229,68,22.9
2026-09-11T22:02:00Z,2026-09-12T00:02:00+02:00,55,ajuntament-mercat,237,184,53,22.4
2026-09-11T22:03:00Z,2026-09-12T00:03:00+02:00,53,dr-robert,407,335,72,17.7
2026-09-11T22:03:00Z,2026-09-12T00:03:00+02:00,54,placa-vella,297,229,68,22.9
2026-09-11T22:03:00Z,2026-09-12T00:03:00+02:00,55,ajuntament-mercat,237,184,53,22.4
2026-09-11T22:04:00Z,2026-09-12T00:04:00+02:00,53,dr-robert,407,335,72,17.7
2026-09-11T22:04:00Z,2026-09-12T00:04:00+02:00,54,placa-vella,297,229,68,22.9
2026-09-11T22:04:00Z,2026-09-12T00:04:00+02:00,55,ajuntament-mercat,237,184,53,22.4
2026-09-11T22:05:00Z,2026-09-12T00:05:00+02:00,53,dr-robert,407,335,72,17.7
2026-09-11T22:05:00Z,2026-09-12T00:05:00+02:00,54,placa-vella,297,229,68,22.9
2026-09-11T22:05:00Z,2026-09-12T00:05:00+02:00,55,ajuntament-mercat,237,184,53,22.4
2026-09-11T22:06:00Z,2026-09-12T00:06:00+02:00,53,dr-robert,407,334,73,17.9
2026-09-11T22:06:00Z,2026-09-12T00:06:00+02:00,54,placa-vella,297,229,68,22.9
2026-09-11T22:06:00Z,2026-09-12T00:06:00+02:00,55,ajuntament-mercat,237,185,52,21.9
2026-09-11T22:07:00Z,2026-09-12T00:07:00+02:00,53,dr-robert,407,334,73,17.9
2026-09-11T22:07:00Z,2026-09-12T00:07:00+02:00,54,placa-vella,297,229,68,22.9
2026-09-11T22:07:00Z,2026-09-12T00:07:00+02:00,55,ajuntament-mercat,237,185,52,21.9
2026-09-11T22:08:00Z,2026-09-12T00:08:00+02:00,53,dr-robert,407,334,73,17.9
2026-09-11T22:08:00Z,2026-09-12T00:08:00+02:00,54,placa-vella,297,229,68,22.9
2026-09-11T22:08:00Z,2026-09-12T00:08:00+02:00,55,ajuntament-mercat,237,185,52,21.9
2026-09-11T22:09:00Z,2026-09-12T00:09:00+02:00,53,dr-robert,407,334,73,17.9
